name,threshold,accuracy,balanced_accuracy,precision,recall,f1,tnr,far,fnr,TP,TN,FP,FN
p99,0.1827315733,0.9280248537,0.783476267,0.9105733481,0.5769548686,0.7063526197,0.9899976654,0.01000233461,0.4230451314,41880,407091,4113,30708
p995,0.5362889752,0.8953682574,0.6629365442,0.9214241866,0.3308535846,0.4868831853,0.9950195037,0.004980496299,0.6691464154,24016,409156,2048,48572
p997,0.9805450773,0.8632015412,0.5510685841,0.8617573978,0.1051137929,0.1873726087,0.9970233753,0.002976624741,0.8948862071,7630,409980,1224,64958
3sigma,0.3553582246,0.9150337335,0.7321690989,0.9267935578,0.4709042817,0.624499863,0.993433916,0.006566083988,0.5290957183,34182,408504,2700,38406
best_f1,0.05329476297,0.9360282932,0.864045056,0.802305827,0.7612001984,0.7812126653,0.9668899135,0.03311008648,0.2387998016,55254,397589,13615,17334
best_youden_j,0.049680911,0.9355466812,0.864476445,0.798511982,0.7629360225,0.7803187217,0.9660168675,0.03398313246,0.2370639775,55380,397230,13974,17208
far_le_1pct,0.1827315733,0.9280248537,0.783476267,0.9105733481,0.5769548686,0.7063526197,0.9899976654,0.01000233461,0.4230451314,41880,407091,4113,30708
far_le_0.5pct,0.5362889752,0.8953682574,0.6629365442,0.9214241866,0.3308535846,0.4868831853,0.9950195037,0.004980496299,0.6691464154,24016,409156,2048,48572
