threshold_name,threshold,accuracy,precision,recall,far,f1,balanced_accuracy,TP,FP,TN,FN
p95,0.0072682265657931545,0.9503479677023372,0.729328018982364,1.0,0.05732086699752141,0.843481411249605,0.9713395665012393,54712,20305,333929,0
p97,0.01219410672783851,0.9720427635922592,0.8271524680625898,1.0,0.03227527566523823,0.9054005974002333,0.9838623621673809,54712,11433,342801,0
p99,0.20287272334098816,0.9630342392394106,0.9614264071786505,0.7539479456060828,0.004672052936759317,0.8451396785395987,0.8746379463346617,41250,1655,352579,13462
p99_5,0.29965412616729736,0.950888381351083,0.9683256694617257,0.6543171516303553,0.0033057244646194322,0.7809384612028534,0.825505713582868,35799,1171,353063,18913
p99_7,0.5696346163749695,0.9173949616819824,0.9723337997021257,0.3937710191548472,0.0017304945318631188,0.5605380582549533,0.696020262311492,21544,613,353621,33168
3sigma,0.21334838028997183,0.9569747595036997,0.9609776695894086,0.7071209241117122,0.00443492154903256,0.8147329184698487,0.8513430012813399,38688,1571,352663,16024
best_f1,0.050903208911756495,0.985734057797362,0.9042979089465325,0.9991044012282497,0.016331012833324863,0.9493400486279959,0.9913866941974625,54663,5785,348449,49
